,description,note
0,Excellent accueil du personnel et hôtel très bien situé Seul bémol  chambre très petite,8
1,Hôtel bien situé Proche de la gare Montparnasse même à pied  Petite chambre mais confortable Personnel sympa,8
2,Bon quartier On a été bien acceuilli Merci,10
3,Salle de petit déjeuner trop petite pour le nombre de clients de l’hôtel Et trop peu de vaisselle les clients ont du attendre que la vaisselle des précédents soit lavée pour pouvoir se servir,8
4,Séjour conforme aux attentes,8
5,Bien placé pour les théâtres et le coeur de Paris Personnel tres agréable  Propre Bon petit déjeuner  Mais chambre sius les toits en sous pente tees petite et sans chauffage Sans le radiateur grille pain rajouté par la réception j aurais changé hotel  Mauvais rapport qualité prix  Pas le niveau d un best western ,6
6,Nice location quiet good sleep,8
7,Très bon séjour hôtel atypique avec l’histoire de Raimbaud,10
8,Hôtel en très bon état bien situé dans le ème Chambre solo sous les toits de très bonne facture Personnel très accueillant et serviable Petitdéjeuner très correct Bref je recommande,8
9,Hôtel à thème très sympa on se croirait entrer dans une simple librairie mais non  La chambre et lhôtel sont un peu exiguë mais très bien placé et dans un vieux bâtiment,8
10,Hotel boutique très propre et accueillant Nous avons demandé un changement de chambre qui nous a été accordé sans problèmes,10
11,Hôtel très bien situé Salle de bain en mezzanine avec un escalier très raide Plafond de la salle de bain en pente avec risque de se cogner la tête Par ailleurs chambre agréable J’avais choisi une chambre plus confortable et plus chère mais ceci a été un peu gâché par la salle de bain pas pratique Si je reviens dans cet hôtel je serai attentive pour choisir une chambre avec une salle de bain plus pratique ,8
12,Très bon service Près de plusieurs attractions cafés magasins etc,10
13,"Hôtel agréable et bien situé je recommande  Calme grand lit agréable Hôtesse d’ac Souriante ",10
14,Excellente situation pour cet établissement aux chambres confortables et meublées avec goût et raffinement Parking et transports à proximité  Très pratique Notre chambre donnait sur le Louvre  et les gargouilles de la Tour St Jacques Excellent séjour Établissement recommandé,10
15,"Lhôtel ne paye pas de mine de lextérieur mais est très bien Climatisation pas très efficace par contre la chambre très agréable La  si ça vous intéresse  Propre et silencieuse Salle de bain plutôt pas mal  Bon rapport qualité prix et situé à  minutes de marche du métro et en face du Louvre",8
16,Un hôtel très bien placé près de la gare du nord avec des prestations très honnêtes pour sa gamme de prix Un personnel accueillant et prévenant ,8
17,Hôtel sans prétention mais où il ne manque rien y compris laccueil chaleureux et le côté très pratique à proximité de la gare du nord,10
18,La proximité avec la gare,10
19,Merci,10
20,Hotel vieux devrav être rénové ,6
