,rating,description
0,8/10 Très bien,Excellent accueil du personnel et hôtel très bien situé. Seul bémol: chambre très petite.
1,8/10 Très bien,
2,8/10 Très bien,"Hôtel bien situé. Proche de la gare Montparnasse même à pied. 
Petite chambre mais confortable. Personnel sympa."
3,10/10 Exceptionnel,"Bon quartier. On a été bien acceuilli
Merci"
4,8/10 Très bien,
5,8/10 Très bien,
6,10/10 Exceptionnel,
7,8/10 Très bien,"Salle de petit déjeuner trop petite pour le nombre de clients de l’hôtel. Et trop peu de vaisselle, les clients ont du attendre que la vaisselle des précédents soit lavée pour pouvoir se servir."
8,8/10 Très bien,Séjour conforme aux attentes
9,10/10 Exceptionnel,
0,6/10 Bien,"Bien placé pour les théâtres et le coeur de Paris
Personnel tres agréable 
Propre
Bon petit déjeuner 
Mais chambre sius les toits en sous pente tees petite et sans chauffage. Sans le radiateur grille pain rajouté par la réception j aurais changé hotel. 
Mauvais rapport qualité/ prix 
Pas le niveau d un best western "
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,
3,10/10 Exceptionnel,
4,8/10 Très bien,"Nice location, quiet, good sleep"
5,10/10 Exceptionnel,"Très bon séjour, hôtel atypique avec l’histoire de Raimbaud"
6,8/10 Très bien,"Hôtel en très bon état, bien situé dans le 10ème. Chambre solo sous les toits, de très bonne facture. Personnel très accueillant et serviable. Petit-déjeuner très correct. Bref, je recommande."
7,8/10 Très bien,"Hôtel à thème très sympa, on se croirait entrer dans une simple librairie mais non !
La chambre et l'hôtel sont un peu exiguë mais très bien placé et dans un vieux bâtiment."
8,10/10 Exceptionnel,
9,8/10 Très bien,
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,Hotel boutique très propre et accueillant. Nous avons demandé un changement de chambre qui nous a été accordé sans problèmes
2,10/10 Exceptionnel,
